# Particle centroids in pixel units
# Particle radii - half of the average of the major and minor diameters of an ellipse fit to the particle area
# total particles: 3676
# mean radius: 3.2 Std.Dev. 0.14 (nm), 9.3 Std.Dev. 0.39 (pixels)
# X (pixel)	Y (pixel)	radius (nm)
1.0808e+03	1.0676e+02	3.2762e+00
1.3242e+03	1.0661e+02	3.3566e+00
7.1211e+02	1.0770e+02	3.1970e+00
9.0698e+02	1.0866e+02	3.2256e+00
1.7487e+02	1.0978e+02	3.2122e+00
4.0496e+02	1.0902e+02	3.1583e+00
6.3310e+02	1.0918e+02	3.3847e+00
1.2024e+03	1.0923e+02	3.3204e+00
3.7819e+02	1.1027e+02	3.3788e+00
1.2967e+03	1.1037e+02	3.4456e+00
1.4738e+02	1.1145e+02	3.3325e+00
5.8133e+02	1.1248e+02	3.3154e+00
6.0730e+02	1.1183e+02	3.1640e+00
8.8091e+02	1.1168e+02	3.2272e+00
1.0535e+03	1.1157e+02	3.2105e+00
1.1772e+03	1.1049e+02	3.1507e+00
3.5168e+02	1.1269e+02	3.2782e+00
9.9962e+02	1.1516e+02	3.6451e+00
1.1908e+02	1.1282e+02	3.3558e+00
3.2526e+02	1.1359e+02	3.1945e+00
8.5404e+02	1.1314e+02	3.0690e+00
1.2714e+03	1.1346e+02	3.4057e+00
2.9771e+02	1.1465e+02	3.0821e+00
5.5375e+02	1.1429e+02	2.9744e+00
8.0388e+02	1.1620e+02	3.4735e+00
8.2933e+02	1.1425e+02	3.1748e+00
1.0259e+03	1.1483e+02	3.5071e+00
6.3451e+01	1.1547e+02	3.1634e+00
9.1259e+01	1.1510e+02	3.3774e+00
5.0066e+02	1.1636e+02	3.2379e+00
7.7705e+02	1.1688e+02	3.3291e+00
9.7296e+02	1.1700e+02	2.8967e+00
1.1502e+03	1.1610e+02	3.1162e+00
1.2441e+03	1.1678e+02	3.4908e+00
2.4408e+02	1.1928e+02	3.3512e+00
4.7519e+02	1.1786e+02	3.2459e+00
5.2854e+02	1.1613e+02	3.3706e+00
3.5816e+01	1.1812e+02	3.3261e+00
1.1211e+03	1.1803e+02	3.2892e+00
1.3391e+03	1.1830e+02	3.2497e+00
4.4673e+02	1.1969e+02	3.2672e+00
1.9002e+02	1.2008e+02	3.0900e+00
2.7214e+02	1.1834e+02	3.6431e+00
4.1937e+02	1.2090e+02	3.3773e+00
