# Particle centroids in pixel units
# Particle radii - the average of the major and minor radii of an ellipse fit to the particle area
# total particles: 3726
# mean radius (raw data): 3.3 Std.Dev. 0.31 (nm), 9.5 Std.Dev. 0.89 (pixels)
# mean radius (gaussian fit): 3.3 Std.Dev. 0.13 (nm), 9.4 Std.Dev. 0.39 (pixels)
# X (pixel)	Y (pixel)	radius (nm)
5.6543e+02	7.2787e+01	3.2907e+00
5.9163e+02	7.0909e+01	3.3714e+00
1.2157e+03	6.7851e+01	2.6823e+00
1.2812e+02	7.3432e+01	3.1951e+00
7.8816e+02	7.3500e+01	3.1014e+00
8.1282e+02	7.2718e+01	3.4172e+00
5.1305e+02	7.5272e+01	3.5180e+00
5.3858e+02	7.4276e+01	3.3911e+00
7.6234e+02	7.5289e+01	3.4766e+00
1.2540e+03	7.4368e+01	3.2589e+00
1.0100e+03	7.4720e+01	2.6783e+00
4.5470e+01	7.6833e+01	3.2519e+00
7.4766e+01	7.6077e+01	3.3590e+00
2.5452e+02	7.8170e+01	3.1416e+00
2.8125e+02	7.6325e+01	3.3570e+00
4.8533e+02	7.6590e+01	3.3803e+00
9.8530e+02	7.6628e+01	3.5024e+00
1.5342e+01	7.6765e+01	4.2675e+00
4.5813e+02	7.7592e+01	3.2018e+00
7.1023e+02	7.8175e+01	3.2677e+00
1.1347e+03	7.8004e+01	3.1670e+00
1.2272e+03	7.7453e+01	3.1692e+00
1.3215e+03	8.0226e+01	3.4513e+00
2.2742e+02	7.8684e+01	3.3577e+00
7.3595e+02	7.8354e+01	3.3900e+00
9.5972e+02	7.8492e+01	3.6385e+00
1.1054e+03	7.8903e+01	3.1341e+00
6.5808e+02	8.0866e+01	3.1474e+00
1.9935e+02	8.0292e+01	3.2844e+00
4.2927e+02	8.0324e+01	3.3333e+00
6.8492e+02	7.9841e+01	3.1957e+00
9.0493e+02	8.1016e+01	3.1135e+00
1.1877e+03	8.3397e+01	6.9654e+00
3.7638e+02	8.2818e+01	3.4802e+00
9.3245e+02	8.1442e+01	3.2602e+00
1.0788e+03	8.1234e+01	3.0629e+00
4.0375e+02	8.1807e+01	3.3113e+00
6.3129e+02	8.1719e+01	3.0292e+00
1.7205e+02	8.3289e+01	3.1424e+00
5.7937e+02	8.4881e+01	3.2547e+00
6.0522e+02	8.3190e+01	3.2402e+00
8.7929e+02	8.3498e+01	3.3806e+00
1.2953e+03	8.3536e+01	3.4163e+00
8.2670e+02	8.4959e+01	2.9495e+00
8.5238e+02	8.4754e+01	3.3512e+00
1.4500e+02	8.4833e+01	3.3708e+00
3.4964e+02	8.5730e+01	3.3613e+00
1.0267e+03	8.4770e+01	3.1237e+00
1.0538e+03	8.4189e+01	2.9839e+00
1.1642e+02	8.6599e+01	3.3370e+00
8.0119e+02	8.6821e+01	3.3970e+00
8.8735e+01	8.7944e+01	3.2431e+00
3.2318e+02	8.6806e+01	3.0299e+00
5.5223e+02	8.7418e+01	3.2634e+00
5.2672e+02	8.8730e+01	3.0964e+00
7.7601e+02	8.8782e+01	3.0716e+00
1.2423e+03	8.9500e+01	3.6143e+00
1.3503e+03	8.9430e+01	7.1259e+00
6.1173e+01	8.9477e+01	3.4465e+00
5.0020e+02	8.9906e+01	3.1654e+00
9.9819e+02	8.9335e+01	2.8630e+00
1.1489e+03	8.8717e+01	3.0050e+00
1.2690e+03	8.6992e+01	3.2017e+00
2.6897e+02	9.0146e+01	3.2387e+00
2.9702e+02	8.9256e+01	3.5853e+00
9.7278e+02	9.1122e+01	2.9970e+00
1.1675e+03	8.7000e+01	3.8821e-01
3.3144e+01	9.0842e+01	3.2989e+00
2.4098e+02	9.1189e+01	3.1753e+00
4.7211e+02	9.1184e+01	3.2592e+00
1.1183e+03	9.1179e+01	3.0993e+00
1.2155e+03	9.2772e+01	3.4128e+00
4.4559e+02	9.2747e+01	3.3636e+00
6.4503e+02	9.3880e+01	3.5725e+00
7.5014e+02	9.2030e+01	3.2279e+00
9.9339e+02	9.0935e+01	1.1190e+00
6.9800e+02	9.3014e+01	3.3092e+00
7.2402e+02	9.3275e+01	3.3229e+00
1.8648e+02	9.4658e+01	3.1899e+00
2.1388e+02	9.4003e+01	3.4062e+00
9.4711e+02	9.3781e+01	3.1006e+00
4.1713e+02	9.4816e+01	3.2274e+00
6.7268e+02	9.4902e+01	3.4724e+00
9.1861e+02	9.4886e+01	3.3576e+00
1.0935e+03	9.3794e+01	3.1549e+00
3.9070e+02	9.6372e+01	3.1093e+00
8.6681e+02	9.7574e+01	3.1122e+00
1.3084e+03	9.5768e+01	3.2452e+00
1.3202e+02	9.8179e+01	3.4949e+00
8.9296e+02	9.6880e+01	3.2698e+00
1.0649e+03	9.7665e+01	2.8376e+00
1.6004e+02	9.8132e+01	3.4605e+00
5.9339e+02	9.8824e+01	3.1835e+00
6.1923e+02	9.7166e+01	3.4993e+00
3.3714e+02	9.9840e+01	3.1791e+00
3.6378e+02	9.8086e+01	3.3703e+00
8.4100e+02	9.9508e+01	3.4218e+00
1.2594e+03	9.9882e+01	2.6233e+00
1.2827e+03	9.9015e+01	3.2467e+00
5.4011e+02	1.0127e+02	3.1126e+00
5.6626e+02	1.0056e+02	3.2515e+00
8.1522e+02	1.0050e+02	3.2729e+00
1.0105e+03	1.0003e+02	3.3879e+00
1.0404e+03	9.9851e+01	3.4528e+00
7.5976e+01	1.0181e+02	3.3584e+00
1.0343e+02	1.0135e+02	3.1459e+00
2.8392e+02	1.0206e+02	3.1315e+00
7.8963e+02	1.0162e+02	3.3163e+00
1.1611e+03	1.0115e+02	3.3995e+00
4.8261e+01	1.0308e+02	3.3035e+00
2.5531e+02	1.0398e+02	3.4513e+00
3.1137e+02	1.0152e+02	3.2887e+00
5.1410e+02	1.0257e+02	3.1198e+00
9.8444e+02	1.0240e+02	3.2617e+00
1.1343e+03	1.0314e+02	3.3372e+00
4.8710e+02	1.0394e+02	3.3347e+00
7.6391e+02	1.0401e+02	3.1667e+00
1.5913e+01	1.0653e+02	5.3325e+00
4.5982e+02	1.0548e+02	3.4067e+00
9.6118e+02	1.0532e+02	3.0477e+00
1.1071e+03	1.0550e+02	3.2028e+00
1.2298e+03	1.0502e+02	3.1237e+00
2.0344e+02	1.0777e+02	3.1220e+00
4.3279e+02	1.0636e+02	3.2487e+00
7.3816e+02	1.0639e+02	3.0275e+00
2.3005e+02	1.0655e+02	3.3579e+00
6.5911e+02	1.0843e+02	3.2896e+00
6.8675e+02	1.0771e+02	3.1367e+00
9.3390e+02	1.0721e+02	2.9891e+00
1.0805e+03	1.0665e+02	3.3013e+00
1.3239e+03	1.0643e+02	3.4004e+00
7.1177e+02	1.0787e+02	3.3208e+00
9.0703e+02	1.0868e+02	3.2973e+00
1.7486e+02	1.0973e+02	3.2326e+00
4.0495e+02	1.0901e+02	3.1807e+00
6.3306e+02	1.0943e+02	3.3672e+00
1.2025e+03	1.0909e+02	3.3438e+00
3.7817e+02	1.1029e+02	3.4014e+00
1.2969e+03	1.1019e+02	3.4742e+00
1.4737e+02	1.1150e+02	3.3852e+00
5.8131e+02	1.1267e+02	3.3345e+00
6.0741e+02	1.1215e+02	3.2380e+00
8.8078e+02	1.1155e+02	3.2809e+00
1.0536e+03	1.1166e+02	3.2257e+00
1.1772e+03	1.1057e+02	3.1506e+00
3.5190e+02	1.1245e+02	3.3185e+00
1.3637e+03	1.1530e+02	2.9775e+00
1.1901e+02	1.1298e+02	3.3514e+00
3.2501e+02	1.1401e+02	3.1891e+00
8.2939e+02	1.1425e+02	3.2113e+00
8.5397e+02	1.1308e+02	3.0609e+00
1.2708e+03	1.1303e+02	3.2672e+00
2.9770e+02	1.1476e+02	3.0396e+00
5.5393e+02	1.1409e+02	3.0479e+00
6.3725e+01	1.1545e+02	3.1851e+00
9.1232e+01	1.1496e+02	3.3922e+00
7.7679e+02	1.1674e+02	3.3152e+00
5.0068e+02	1.1623e+02	3.2693e+00
9.7300e+02	1.1674e+02	2.9669e+00
9.9956e+02	1.1476e+02	3.5873e+00
1.0262e+03	1.1455e+02	3.4960e+00
1.1502e+03	1.1614e+02	3.1129e+00
1.2441e+03	1.1679e+02	3.5243e+00
2.4409e+02	1.1928e+02	3.3392e+00
4.7526e+02	1.1792e+02	3.2538e+00
5.2840e+02	1.1596e+02	3.3887e+00
3.5882e+01	1.1815e+02	3.3617e+00
8.0359e+02	1.1627e+02	3.5692e+00
1.1211e+03	1.1780e+02	3.3432e+00
1.3392e+03	1.1821e+02	3.3126e+00
4.4661e+02	1.1978e+02	3.3081e+00
1.2841e+03	1.1932e+02	2.8564e+00
1.9002e+02	1.2010e+02	3.1054e+00
2.7205e+02	1.1847e+02	3.6726e+00
7.2646e+02	1.2071e+02	3.2272e+00
7.5063e+02	1.2030e+02	3.2514e+00
1.0952e+03	1.2049e+02	3.5599e+00
2.1671e+02	1.2119e+02	3.3880e+00
4.1943e+02	1.2099e+02	3.4614e+00
6.9942e+02	1.2204e+02	3.3704e+00
9.4850e+02	1.2075e+02	3.4102e+00
1.2186e+03	1.2073e+02	3.0311e+00
1.6299e+02	1.2309e+02	3.1108e+00
3.9283e+02	1.2217e+02	3.2783e+00
6.7210e+02	1.2218e+02	3.3480e+00
9.2350e+02	1.2216e+02	3.2181e+00
1.3135e+03	1.2190e+02	3.4372e+00
8.1489e+00	1.2368e+02	1.5050e+00
1.0686e+03	1.2389e+02	2.8753e+00
3.6596e+02	1.2578e+02	3.2692e+00
8.9527e+02	1.2439e+02	3.3425e+00
1.1892e+03	1.2399e+02	3.4578e+00
1.3459e+02	1.2486e+02	3.2599e+00
5.9493e+02	1.2652e+02	3.2713e+00
6.2154e+02	1.2608e+02	3.2342e+00
6.4667e+02	1.2318e+02	3.3822e+00
8.6813e+02	1.2539e+02	3.3416e+00
1.0592e+02	1.2677e+02	3.1447e+00
8.4238e+02	1.2790e+02	3.2871e+00
5.4152e+02	1.2764e+02	3.1268e+00
5.6869e+02	1.2732e+02	3.2632e+00
1.0412e+03	1.2718e+02	3.5477e+00
1.2594e+03	1.2889e+02	3.2917e+00
3.1211e+02	1.2895e+02	3.1755e+00
8.1710e+02	1.2957e+02	3.2881e+00
1.0131e+03	1.2826e+02	3.0843e+00
2.8555e+02	1.2962e+02	3.0254e+00
3.3911e+02	1.2811e+02	3.5265e+00
4.8866e+02	1.3036e+02	3.2118e+00
5.1539e+02	1.2943e+02	3.2726e+00
1.1360e+03	1.2964e+02	3.4237e+00
1.1631e+03	1.2857e+02	3.1892e+00
5.1168e+01	1.3038e+02	3.3367e+00
7.9989e+01	1.3058e+02	3.2387e+00
2.5920e+02	1.3111e+02	3.1773e+00
7.6555e+02	1.3132e+02	3.2138e+00
7.9140e+02	1.3102e+02	3.4513e+00
4.6153e+02	1.3133e+02	3.3290e+00
1.3596e+03	1.3668e+02	4.9033e+00
2.3605e+01	1.3256e+02	3.3108e+00
9.8746e+02	1.3171e+02	3.2498e+00
1.2310e+03	1.3218e+02	3.1442e+00
2.3177e+02	1.3391e+02	3.2452e+00
4.3453e+02	1.3453e+02	3.2852e+00
7.3987e+02	1.3341e+02	3.1269e+00
9.6103e+02	1.3338e+02	3.1239e+00
1.1094e+03	1.3324e+02	3.1398e+00
1.2879e+03	1.3385e+02	3.4339e+00
2.0396e+02	1.3375e+02	3.0872e+00
4.0765e+02	1.3546e+02	3.2391e+00
9.3504e+02	1.3510e+02	3.0799e+00
1.7711e+02	1.3644e+02	3.2009e+00
6.6108e+02	1.3572e+02	3.1087e+00
7.1348e+02	1.3562e+02	3.0091e+00
1.0829e+03	1.3581e+02	3.2655e+00
1.3275e+03	1.3507e+02	3.3627e+00
6.8599e+02	1.3580e+02	3.2689e+00
9.0887e+02	1.3636e+02	3.5417e+00
1.2037e+03	1.3621e+02	3.0697e+00
3.8055e+02	1.3757e+02	3.3243e+00
6.3580e+02	1.3863e+02	3.2755e+00
8.8267e+02	1.3863e+02	3.3212e+00
1.0549e+03	1.3898e+02	3.2417e+00
1.3034e+03	1.3820e+02	2.8445e+00
3.5338e+02	1.3988e+02	3.1355e+00
6.0963e+02	1.4024e+02	3.3180e+00
1.1792e+03	1.3952e+02	3.1610e+00
9.4280e+01	1.4091e+02	3.2927e+00
1.2310e+02	1.3961e+02	3.3327e+00
5.5550e+02	1.4035e+02	3.4115e+00
5.8205e+02	1.4065e+02	3.4239e+00
8.5578e+02	1.4117e+02	3.2098e+00
1.4996e+02	1.3917e+02	3.4342e+00
2.9909e+02	1.4167e+02	3.3454e+00
3.2507e+02	1.4162e+02	3.2764e+00
5.0244e+02	1.4312e+02	3.4454e+00
5.2923e+02	1.4218e+02	3.1675e+00
8.3100e+02	1.4237e+02	3.2958e+00
